Date;Open;High;Low;Close
2022-08-15T06:00:00+02:00;3945;4005;3904.5;3959
2022-08-16T06:00:00+02:00;3977;4025;3936;4018
2022-08-17T06:00:00+02:00;4020;4044;3907;3907
2022-08-18T06:00:00+02:00;3906.5;3942;3878;3920
2022-08-19T06:00:00+02:00;3945;3974;3894;3972
2022-08-22T06:00:00+02:00;3968;4028.5;3944.5;4017
2022-08-23T06:00:00+02:00;4022;4099;4016;4098
2022-08-24T06:00:00+02:00;4103;4128;4066;4117
2022-08-25T06:00:00+02:00;4125;4143.5;4047;4055
2022-08-26T06:00:00+02:00;4056;4115;4046.5;4115
2022-08-29T06:00:00+02:00;4114;4207;4088.5;4186
2022-08-30T06:00:00+02:00;4198;4220;4120;4140
2022-08-31T06:00:00+02:00;4300;4300;4161.5;4270
2022-09-01T06:00:00+02:00;4250;4773;4221;4722
2022-09-02T06:00:00+02:00;4660;4714.5;4556;4595
2022-09-05T06:00:00+02:00;4619.5;4690;4483;4658
2022-09-06T06:00:00+02:00;4660;4666.5;4410.5;4545
2022-09-07T06:00:00+02:00;4545;4545;4420;4420
2022-09-08T06:00:00+02:00;4400;4432.5;4376;4410
2022-09-09T06:00:00+02:00;4437;4500;4401.5;4470
2022-09-12T06:00:00+02:00;4460;4591.5;4426.5;4560
2022-09-13T06:00:00+02:00;4570;4588.5;4510;4542.5
2022-09-14T06:00:00+02:00;4531;4548;4403.5;4472
2022-09-15T06:00:00+02:00;4471;4558;4436;4530
2022-09-16T06:00:00+02:00;4539;4580;4475;4519
2022-09-19T06:00:00+02:00;4524.5;4548;4445;4496
2022-09-20T06:00:00+02:00;4478;4494;3830;4055
2022-09-21T06:00:00+02:00;3622.5;4044;3622.5;3955
2022-09-22T06:00:00+02:00;3955;4095.5;3951.5;4011
2022-09-23T06:00:00+02:00;4014;4037;3875;3948.5
2022-09-26T06:00:00+02:00;3856;3882;3605.5;3708
2022-09-27T06:00:00+02:00;3800;3924;3715;3865
2022-09-28T06:00:00+02:00;3840;3967;3806.5;3907.5
